Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugul,Korean,Turkish
ImperialHeartland,帝京心脏地带,Imperial Heartland,帝京心臟地帶,Императорское сердце,Corazón Imperial,Coração Imperial,Kaiserliches Kernland,帝都の中心地,Cœur Impérial,Cesarskie Serce,Corazón Imperial,Coração Imperial,제경중심지,İmparatorluk Kalbi
MythicalLands,神话之地,Mythical Lands,神話之地,Мифические земли,Tierras Míticas,Terras Míticas,Mythische Ländereien,神話の地,Terres Mythiques,Mityczne Ziemie,Tierras Míticas,Terras Míticas,신화지,Efsanevi Topraklar
SilverTerritory,银域,Silver Territory,銀域,Серебряная территория,Territorio de Plata,Território de Prata,Silbergebiet,銀領域,Territoire d'Argent,Srebrne Terytorium,Territorio de Plata,Território de Prata,은역,Gümüş Bölge
GoldenRegion,金区,Golden Region,金區,Золотой регион,Región Dorada,Região Dourada,Goldregion,金地方,Région d'Or,Złoty Region,Región Dorada,Região Dourada,금구,Altın Bölge
MoonlitProvince,月光省,Moonlit Province,月光省,Лунная провинция,Provincia Iluminada por la Luna,Província Iluminada pela Lua,Mondbeleuchtete Provinz,月光県,Province Éclairée par la Lune,Prowincja Księżycowa,Provincia Iluminada por la Luna,Província Iluminada pela Lua,월광성,Ay Işığı Eyaleti
PeachBlossomLands,桃花地,Peach Blossom Lands,桃花地,Земли персикового цветения,Tierras de Flor de Durazno,Terras de Flor de Pêssego,Pfirsichblütenländer,桃花の地,Terres de Fleur de Pêcher,Ziemie Kwiatów Brzoskwini,Tierras de Flor de Durazno,Terras de Flor de Pêssego,도화지,Şeftali Çiçeği Toprakları
FourDivineRegion,四灵区,Four Divine Beasts Region,四靈區,Регион Четырех Священных Зверей,Región de las Cuatro Bestias Divinas,Região das Quatro Bestas Divinas,Vier Göttliche Tiere Region,四霊地方,Région des Quatre Bêtes Divines,Region Czterech Boskich Bestii,Región de las Cuatro Bestias Divinas,Região das Quatro Bestas Divinas,사령지구,Dört İlahi Canavar Bölgesi
CrimsonDistrict,朱雀区,Vermilion Bird District,朱雀區,Район Багровой Птицы,Distrito del Ave Bermeja,Distrito da Ave Vermelha,Zinnoberrote Vogel-Viertel,朱雀地区,District de l'Oiseau Vermillon,Dzielnica Szkarłatnego Ptaka,Distrito del Ave Bermeja,Distrito da Ave Vermelha,주작지구,Kırmızı Kuş Bölgesi
BlackTurtleZone,玄武地带,Black Tortoise Zone,玄武地帶,Зона Черной Черепахи,Zona de la Tortuga Negra,Zona da Tartaruga Negra,Schwarze Schildkröte Zone,玄武地帯,Zone de la Tortue Noire,Strefa Czarnego Żółwia,Zona de la Tortuga Negra,Zona da Tartaruga Negra,현무지대,Kara Kaplumbağa Bölgesi
WhiteTigerLands,白虎之地,White Tiger Lands,白虎之地,Земли Белого Тигра,Tierras del Tigre Blanco,Terras do Tigre Branco,Weiße Tiger-Ländereien,白虎の地,Terres du Tigre Blanc,Ziemie Białego Tygrysa,Tierras del Tigre Blanco,Terras do Tigre Branco,백호지,Beyaz Kaplan Toprakları
AzureDragonProvince,青龙省,Azure Dragon Province,青龍省,Провинция Лазурного Дракона,Provincia del Dragón Azul,Província do Dragão Azul,Azurblauer Drachen-Provinz,青龍県,Province du Dragon Azur,Prowincja Lazurowego Smoka,Provincia del Dragón Azul,Província do Dragão Azul,청룡성,Gök Mavi Ejderha Eyaleti
CentralShanhaijing,中央山海经,Central Shanhaijing,中央山海經,Центральный Шаньхайцзин,Shanhaijing Central,Shanhaijing Central,Zentral-Shanhaijing,中央山海経,Shanhaijing Centrale,Centralna Shanhaijing,Shanhaijing Central,Shanhaijing Central,중앙산해경,Merkezi Shanhaijing
