Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
NinjaVillage,忍者村,Ninja Village,忍者村,Деревня ниндзя,Aldea Ninja,Vila Ninja,Ninja-Dorf,忍者の里,Village Ninja,Wioska Ninja,Aldea Ninja,Vila Ninja,닌자마을,Ninja Köyü
CherryBlossomPark,樱花公园,Cherry Blossom Park,櫻花公園,Парк цветущей сакуры,Parque de Cerezos,Parque das Cerejeiras,Kirschblütenpark,桜公園,Parc des Cerisiers,Park Wiśni,Parque de Cerezos,Parque das Cerejeiras,벚꽃공원,Kiraz Çiçeği Parkı
MoonlightPavilion,月光亭,Moonlight Pavilion,月光亭,Лунный павильон,Pabellón de la Luz de Luna,Pavilhão da Luz Lunar,Mondlichtpavillon,月光亭,Pavillon du Clair de Lune,Pawilon Księżycowego Światła,Pabellón de la Luz de Luna,Pavilhão da Luz Lunar,월광정,Ay Işığı Köşkü
LanternStreet,灯笼街,Lantern Street,燈籠街,Улица фонарей,Calle de las Linternas,Rua das Lanternas,Laternenstraße,提灯通り,Rue des Lanternes,Ulica Latarni,Calle de las Linternas,Rua das Lanternas,등롱거리,Fener Sokağı
RedTorii,红鸟居,Red Torii,紅鳥居,Красные тории,Torii Rojo,Torii Vermelho,Rotes Torii,赤鳥居,Torii Rouge,Czerwone Torii,Torii Rojo,Torii Vermelho,붉은도리이,Kırmızı Torii
SacredForest,神圣森林,Sacred Forest,神聖森林,Священный лес,Bosque Sagrado,Floresta Sagrada,Heiliger Wald,神聖な森,Forêt Sacrée,Święty Las,Bosque Sagrado,Floresta Sagrada,신성한숲,Kutsal Orman
BambooGrove,竹林,Bamboo Grove,竹林,Бамбуковая роща,Arboleda de Bambú,Bosque de Bambu,Bambushain,竹林,Bosquet de Bambou,Gaj Bambusowy,Arboleda de Bambú,Bosque de Bambu,죽림,Bambu Korusu
TeaHouseDistrict,茶屋区,Tea House District,茶屋區,Район чайных домов,Distrito de las Casas de Té,Distrito das Casas de Chá,Teehausviertel,茶屋地区,District des Maisons de Thé,Dzielnica Herbaciarń,Distrito de las Casas de Té,Distrito das Casas de Chá,찻집지구,Çay Evi Bölgesi
CastleTown,城下町,Castle Town,城下町,Город при замке,Ciudad del Castillo,Cidade do Castelo,Burgstadt,城下町,Ville du Château,Miasto Zamkowe,Ciudad del Castillo,Cidade do Castelo,성하촌,Kale Kasabası
TrainingGrounds,训练场,Training Grounds,訓練場,Тренировочная площадка,Terrenos de Entrenamiento,Terrenos de Treinamento,Trainingsgelände,訓練場,Terrains d'Entraînement,Tereny Treningowe,Terrenos de Entrenamiento,Terrenos de Treinamento,훈련장,Eğitim Alanı
MarketStreet,市场街,Market Street,市場街,Рыночная улица,Calle del Mercado,Rua do Mercado,Marktstraße,市場通り,Rue du Marché,Ulica Targowa,Calle del Mercado,Rua do Mercado,시장거리,Pazar Sokağı
SpiritPond,灵池,Spirit Pond,靈池,Духовный пруд,Estanque del Espíritu,Lago do Espírito,Geisterteich,霊池,Étang des Esprits,Staw Duchów,Estanque del Espíritu,Lago do Espírito,영지,Ruh Gölü
DrumTower,鼓楼,Drum Tower,鼓樓,Барабанная башня,Torre del Tambor,Torre do Tambor,Trommelturm,太鼓櫓,Tour du Tambour,Wieża Bębnów,Torre del Tambor,Torre do Tambor,고루,Davul Kulesi
MatsuriBridge,祭桥,Matsuri Bridge,祭橋,Мост Мацури,Puente Matsuri,Ponte Matsuri,Matsuri-Brücke,祭橋,Pont Matsuri,Most Matsuri,Puente Matsuri,Ponte Matsuri,마츠리다리,Matsuri Köprüsü
HiddenPath,隐秘小径,Hidden Path,隱秘小徑,Скрытая тропа,Sendero Oculto,Caminho Oculto,Versteckter Pfad,隠し道,Sentier Caché,Ukryta Ścieżka,Sendero Oculto,Caminho Oculto,숨겨진길,Gizli Yol
