Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
FilmStudio,电影工作室,Film Studio,電影工作室,Киностудия,Estudio de Cine,Estúdio de Cinema,Filmstudio,映画スタジオ,Studio de Cinéma,Studio Filmowe,Estudio de Cine,Estúdio de Cinema,영화스튜디오,Film Stüdyosu
PhotographyLab,摄影实验室,Photography Lab,攝影實驗室,Фотолаборатория,Laboratorio de Fotografía,Laboratório de Fotografia,Fotolabor,写真研究室,Laboratoire Photo,Laboratorium Fotograficzne,Laboratorio de Fotografía,Laboratório de Fotografia,사진실험실,Fotoğraf Laboratuvarı
CeramicsWorkshop,陶艺工坊,Ceramics Workshop,陶藝工坊,Керамическая мастерская,Taller de Cerámica,Oficina de Cerâmica,Keramikwerkstatt,陶芸工房,Atelier de Céramique,Pracownia Ceramiki,Taller de Cerámica,Oficina de Cerâmica,도예공방,Seramik Atölyesi
DesignStudio,设计工作室,Design Studio,設計工作室,Дизайн-студия,Estudio de Diseño,Estúdio de Design,Designstudio,デザインスタジオ,Studio de Design,Studio Projektowe,Estudio de Diseño,Estúdio de Design,디자인스튜디오,Tasarım Stüdyosu
LiteraryGarden,文学园,Literary Garden,文學園,Литературный сад,Jardín Literario,Jardim Literário,Literarischer Garten,文学の庭,Jardin Littéraire,Ogród Literacki,Jardín Literario,Jardim Literário,문학정원,Edebiyat Bahçesi
CalligraphyHall,书法馆,Calligraphy Hall,書法館,Зал каллиграфии,Sala de Caligrafía,Salão de Caligrafia,Kalligraphiesaal,書道館,Salle de Calligraphie,Sala Kaligrafii,Sala de Caligrafía,Salão de Caligrafia,서예관,Kaligrafi Salonu
TheatricalDistrict,戏剧区,Theatrical District,戲劇區,Театральный район,Distrito Teatral,Distrito Teatral,Theaterviertel,演劇地区,Quartier Théâtral,Dzielnica Teatralna,Distrito Teatral,Distrito Teatral,연극지구,Tiyatro Bölgesi
CostumeDepartment,服装部,Costume Department,服裝部,Отдел костюмов,Departamento de Vestuario,Departamento de Figurino,Kostümabteilung,衣装部,Département des Costumes,Dział Kostiumów,Departamento de Vestuario,Departamento de Figurino,의상부,Kostüm Departmanı
MuseumQuarter,博物馆区,Museum Quarter,博物館區,Музейный квартал,Barrio de los Museos,Bairro dos Museus,Museumsviertel,博物館地区,Quartier des Musées,Dzielnica Muzeów,Barrio de los Museos,Bairro dos Museus,박물관지구,Müze Mahallesi
RecordingStudios,录音棚,Recording Studios,錄音棚,Звукозаписывающие студии,Estudios de Grabación,Estúdios de Gravação,Tonstudios,レコーディングスタジオ,Studios d'Enregistrement,Studia Nagrań,Estudios de Grabación,Estúdios de Gravação,녹음스튜디오,Kayıt Stüdyoları
CraftsWorkshop,工艺坊,Crafts Workshop,工藝坊,Ремесленная мастерская,Taller de Artesanía,Oficina de Artesanato,Handwerkswerkstatt,工芸工房,Atelier d'Artisanat,Pracownia Rzemiosła,Taller de Artesanía,Oficina de Artesanato,공예공방,El Sanatları Atölyesi
PerformanceStage,演出舞台,Performance Stage,演出舞臺,Сцена для выступлений,Escenario de Actuación,Palco de Apresentação,Aufführungsbühne,パフォーマンスステージ,Scène de Spectacle,Scena Wystepów,Escenario de Actuación,Palco de Apresentação,공연무대,Performans Sahnesi
ArtistsQuarters,艺术家宿舍,Artists' Quarters,藝術家宿舍,Квартал художников,Barrio de Artistas,Bairro dos Artistas,Künstlerviertel,芸術家居住区,Quartier des Artistes,Dzielnica Artystów,Barrio de Artistas,Bairro dos Artistas,예술가숙소,Sanatçılar Mahallesi
