Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
SecurityBureau,安全局,Security Bureau,安全局,Бюро безопасности,Oficina de Seguridad,Escritório de Segurança,Sicherheitsbüro,警備局,Bureau de Sécurité,Biuro Bezpieczeństwa,Oficina de Seguridad,Escritório de Segurança,안전국,Güvenlik Bürosu
AdministrationWing,行政区,Administration Wing,行政區,Административное крыло,Ala Administrativa,Ala Administrativa,Verwaltungsflügel,管理棟,Aile Administrative,Skrzydło Administracyjne,Ala Administrativa,Ala Administrativa,행정동,İdari Kanat
ConferenceHall,会议厅,Conference Hall,會議廳,Конференц-зал,Sala de Conferencias,Salão de Conferências,Konferenzhalle,会議場,Salle de Conférence,Sala Konferencyjna,Sala de Conferencias,Salão de Conferências,회의장,Konferans Salonu
CoordinationCenter,协调中心,Coordination Center,協調中心,Координационный центр,Centro de Coordinación,Centro de Coordenação,Koordinationszentrum,調整センター,Centre de Coordination,Centrum Koordynacji,Centro de Coordinación,Centro de Coordenação,조정센터,Koordinasyon Merkezi
JusticeHall,正义大厅,Justice Hall,正義大廳,Зал правосудия,Salón de Justicia,Salão da Justiça,Gerechtigkeitshalle,正義のホール,Salle de Justice,Sala Sprawiedliwości,Salón de Justicia,Salão da Justiça,정의의전당,Adalet Salonu
LawEnforcementCenter,执法中心,Law Enforcement Center,執法中心,Центр правоохранения,Centro de Aplicación de la Ley,Centro de Aplicação da Lei,Strafverfolgungszentrum,法執行センター,Centre d'Application de la Loi,Centrum Egzekwowania Prawa,Centro de Aplicación de la Ley,Centro de Aplicação da Lei,법집행센터,Kanun Uygulama Merkezi
CivicCenter,市民中心,Civic Center,市民中心,Гражданский центр,Centro Cívico,Centro Cívico,Bürgerzentrum,市民センター,Centre Civique,Centrum Obywatelskie,Centro Cívico,Centro Cívico,시민센터,Sivil Merkez
GovernmentDistrict,政府区,Government District,政府區,Правительственный район,Distrito Gubernamental,Distrito Governamental,Regierungsviertel,政府地区,District Gouvernemental,Dzielnica Rządowa,Distrito Gubernamental,Distrito Governamental,정부지구,Hükümet Bölgesi
PublicSafety,公共安全部,Public Safety Department,公共安全部,Департамент общественной безопасности,Departamento de Seguridad Pública,Departamento de Segurança Pública,Öffentliche Sicherheitsabteilung,公共安全部,Département de Sécurité Publique,Departament Bezpieczeństwa Publicznego,Departamento de Seguridad Pública,Departamento de Segurança Pública,공공안전부,Kamu Güvenliği Departmanı
EmergencyResponse,应急响应中心,Emergency Response Center,應急響應中心,Центр экстренного реагирования,Centro de Respuesta a Emergencias,Centro de Resposta a Emergências,Notfallzentrum,緊急対応センター,Centre de Réponse d'Urgence,Centrum Reagowania Kryzysowego,Centro de Respuesta a Emergencias,Centro de Resposta a Emergências,긴급대응센터,Acil Müdahale Merkezi
PeacekeepingBase,维和基地,Peacekeeping Base,維和基地,База миротворцев,Base de Mantenimiento de la Paz,Base de Manutenção da Paz,Friedenssicherungsbasis,平和維持基地,Base de Maintien de la Paix,Baza Sił Pokojowych,Base de Mantenimiento de la Paz,Base de Manutenção da Paz,평화유지기지,Barış Gücü Üssü
