Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
BunkerComplex,掩体群,Bunker Complex,掩體群,Бункерный комплекс,Complejo de Búnkeres,Complexo de Bunkers,Bunkerkomplex,バンカー施設,Complexe de Bunkers,Kompleks Bunkerów,Complejo de Búnkeres,Complexo de Bunkers,벙커단지,Sığınak Kompleksi
AmmunitionDepot,弹药库,Ammunition Depot,彈藥庫,Склад боеприпасов,Depósito de Municiones,Depósito de Munições,Munitionslager,弾薬庫,Dépôt de Munitions,Skład Amunicji,Depósito de Municiones,Depósito de Munições,탄약고,Mühimmat Deposu
StrategicWarRoom,战略作战室,Strategic War Room,戰略作戰室,Стратегический военный кабинет,Sala de Guerra Estratégica,Sala de Guerra Estratégica,Strategischer Kriegsraum,戦略作戦室,Salle de Guerre Stratégique,Strategiczna Sala Wojenna,Sala de Guerra Estratégica,Sala de Guerra Estratégica,전략작전실,Stratejik Savaş Odası
BlizzardShelter,暴风雪避难所,Blizzard Shelter,暴風雪避難所,Убежище от метели,Refugio de Ventisca,Abrigo de Nevasca,Schneesturm-Schutzraum,吹雪シェルター,Abri de Blizzard,Schronienie przed Zamiecią,Refugio de Ventisca,Abrigo de Nevasca,눈보라대피소,Tipi Sığınağı
FrozenLake,冰湖,Frozen Lake,冰湖,Замёрзшее озеро,Lago Congelado,Lago Congelado,Gefrorener See,凍結湖,Lac Gelé,Zamarznięte Jezioro,Lago Congelado,Lago Congelado,얼어붙은호수,Donmuş Göl
GulagCompound,古拉格营地,Gulag Compound,古拉格營地,Лагерный комплекс,Complejo Gulag,Complexo Gulag,Gulag-Anlage,収容所,Complexe Goulag,Kompleks Gułag,Complejo Gulag,Complexo Gulag,굴라그수용소,Gulag Kompleksi
SupplyWarehouse,补给仓库,Supply Warehouse,補給倉庫,Склад снабжения,Almacén de Suministros,Armazém de Suprimentos,Versorgungslager,補給倉庫,Entrepôt de Fournitures,Magazyn Zaopatrzenia,Almacén de Suministros,Armazém de Suprimentos,보급창고,İkmal Deposu
SovietMonument,苏维埃纪念碑,Soviet Monument,蘇維埃紀念碑,Советский монумент,Monumento Soviético,Monumento Soviético,Sowjetisches Monument,ソビエト記念碑,Monument Soviétique,Pomnik Radziecki,Monumento Soviético,Monumento Soviético,소비에트기념비,Sovyet Anıtı
RevolutionSquare,革命广场,Revolution Square,革命廣場,Площадь Революции,Plaza de la Revolución,Praça da Revolução,Revolutionsplatz,革命広場,Place de la Révolution,Plac Rewolucji,Plaza de la Revolución,Praça da Revolução,혁명광장,Devrim Meydanı
MilitaryAcademy,军事学院,Military Academy,軍事學院,Военная академия,Academia Militar,Academia Militar,Militärakademie,陸軍士官学校,Académie Militaire,Akademia Wojskowa,Academia Militar,Academia Militar,군사학원,Askeri Akademi
