Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugul,Korean,Turkish
CouncilChamber,议会厅,Council Chamber,議會廳,Зал совета,Cámara del Consejo,Câmara do Conselho,Ratskammer,評議会場,Chambre du Conseil,Sala Rady,Cámara del Consejo,Câmara do Conselho,의회장,Konsey Odası
TeaRoom,茶室,Tea Room,茶室,Чайная комната,Sala de Té,Sala de Chá,Teezimmer,茶室,Salon de Thé,Herbaciarnia,Sala de Té,Sala de Chá,다실,Çay Odası
Library,图书馆,Grand Library,圖書館,Великая библиотека,Gran Biblioteca,Grande Biblioteca,Große Bibliothek,大図書館,Grande Bibliothèque,Wielka Biblioteka,Gran Biblioteca,Grande Biblioteca,대도서관,Büyük Kütüphane
SanctuaryGarden,圣域花园,Sanctuary Garden,聖域花園,Сад святилища,Jardín del Santuario,Jardim do Santuário,Heiligtumsgarten,聖域の庭園,Jardin du Sanctuaire,Ogród Sanktuarium,Jardín del Santuario,Jardim do Santuário,성역정원,Kutsal Alan Bahçesi
BellTower,钟楼,Bell Tower,鐘樓,Колокольня,Torre del Campanario,Torre do Sino,Glockenturm,鐘楼,Tour de Cloches,Dzwonnica,Torre del Campanario,Torre do Sino,종탑,Çan Kulesi
CloistersWalk,回廊,Cloisters Walk,迴廊,Монастырская галерея,Paseo de Claustros,Caminhada dos Claustros,Kreuzgang,回廊,Promenade des Cloîtres,Krużganki,Paseo de Claustros,Caminhada dos Claustros,회랑,Manastır Koridoru
PrayerHall,祈祷厅,Prayer Hall,祈禱廳,Молитвенный зал,Sala de Oración,Salão de Oração,Gebetshalle,祈りの間,Salle de Prière,Sala Modlitwy,Sala de Oración,Salão de Oração,기도실,Dua Salonu
AriusHideout,阿里乌斯据点,Arius Hideout,阿里烏斯據點,Убежище Ариус,Escondite de Arius,Esconderijo de Arius,Arius-Versteck,アリウスアジト,Refuge d'Arius,Kryjówka Arius,Escondite de Arius,Esconderijo de Arius,아리우스아지트,Arius Sığınağı
SecretBase,秘密基地,Secret Base,秘密基地,Секретная база,Base Secreta,Base Secreta,Geheimbasis,秘密基地,Base Secrète,Tajna Baza,Base Secreta,Base Secreta,비밀기지,Gizli Üs
UndergroundFacility,地下设施,Underground Facility,地下設施,Подземное сооружение,Instalación Subterránea,Instalação Subterrânea,Unterirdische Anlage,地下施設,Installation Souterraine,Obiekt Podziemny,Instalación Subterránea,Instalação Subterrânea,지하시설,Yeraltı Tesisi
AcademyGround,学园广场,Academy Grounds,學園廣場,Территория академии,Terrenos de la Academia,Terrenos da Academia,Akademiegelände,学園敷地,Terrains de l'Académie,Teren Akademii,Terrenos de la Academia,Terrenos da Academia,학원광장,Akademi Arazisi
DormitoryComplex,宿舍区,Dormitory Complex,宿舍區,Общежитский комплекс,Complejo de Dormitorios,Complexo de Dormitórios,Wohnheimkomplex,寮施設,Complexe de Dortoirs,Kompleks Akademików,Complejo de Dormitorios,Complexo de Dormitórios,기숙사구역,Yurt Kompleksi
TrainingHall,训练厅,Training Hall,訓練廳,Тренировочный зал,Sala de Entrenamiento,Salão de Treinamento,Trainingshalle,訓練場,Salle d'Entraînement,Sala Treningowa,Sala de Entrenamiento,Salão de Treinamento,훈련장,Eğitim Salonu
HolyGrounds,圣地,Holy Grounds,聖地,Святые места,Terrenos Sagrados,Terrenos Sagrados,Heilige Stätten,聖地,Terrains Sacrés,Święte Miejsce,Terrenos Sagrados,Terrenos Sagrados,성지,Kutsal Alanlar
ConfessionalRoom,忏悔室,Confessional Room,懺悔室,Исповедальня,Sala del Confesionario,Sala Confessional,Beichtraum,告解室,Salle de Confession,Sala Konfesyjna,Sala del Confesionario,Sala Confessional,고해실,Günah Çıkarma Odası
